lemma,article,topic,translation,example
Mann,der,people,man,Der Mann liest eine Zeitung.
Frau,die,people,woman,Die Frau trinkt Kaffee.
Kind,das,people,child,Das Kind spielt im Garten.
Junge,der,people,boy,
Mädchen,das,people,girl,
Vater,der,family,father,
Mutter,die,family,mother,
Sohn,der,family,son,
Tochter,die,family,daughter,
Bruder,der,family,brother,
Schwester,die,family,sister,
Freund,der,people,friend (m),
Freundin,die,people,friend (f),
Name,der,people,name,
Haus,das,home,house,Das Haus ist groß.
Wohnung,die,home,apartment,
Zimmer,das,home,room,
Küche,die,home,kitchen,
Tür,die,home,door,
Fenster,das,home,window,
Tisch,der,home,table,
Stuhl,der,home,chair,
Bett,das,home,bed,
Schrank,der,home,cupboard,
Lampe,die,home,lamp,
Uhr,die,home,clock,
Garten,der,home,garden,
Brot,das,food,bread,
Wasser,das,food,water,Ich trinke gern Wasser.
Kaffee,der,food,coffee,Der Kaffee ist heiß.
Tee,der,food,tea,
Milch,die,food,milk,
Bier,das,food,beer,
Wein,der,food,wine,
Apfel,der,food,apple,Der Apfel ist rot.
Banane,die,food,banana,
Ei,das,food,egg,
Käse,der,food,cheese,
Butter,die,food,butter,
Zucker,der,food,sugar,
Salz,das,food,salt,
Suppe,die,food,soup,
Fleisch,das,food,meat,
Fisch,der,food,fish,
Gemüse,das,food,vegetables,
Obst,das,food,fruit,
Saft,der,food,juice,
Kuchen,der,food,cake,
Stadt,die,places,city,Die Stadt ist schön.
Straße,die,places,street,
Bahnhof,der,places,train station,
Flughafen,der,places,airport,
Schule,die,places,school,Die Schule beginnt um acht.
Universität,die,places,university,
Restaurant,das,places,restaurant,
Hotel,das,places,hotel,
Supermarkt,der,places,supermarket,
Bank,die,places,bank,
Krankenhaus,das,places,hospital,
Kirche,die,places,church,
Park,der,places,park,
Kino,das,places,cinema,
Markt,der,places,market,
Geschäft,das,places,shop,
Auto,das,transport,car,Das Auto ist neu.
Bus,der,transport,bus,
Zug,der,transport,train,
Fahrrad,das,transport,bicycle,
Flugzeug,das,transport,airplane,
Taxi,das,transport,taxi,
Tag,der,time,day,Der Tag ist lang.
Nacht,die,time,night,
Woche,die,time,week,
Monat,der,time,month,
Jahr,das,time,year,
Stunde,die,time,hour,
Minute,die,time,minute,
Zeit,die,time,time,
Morgen,der,time,morning,
Abend,der,time,evening,
Sonne,die,nature,sun,
Regen,der,nature,rain,
Schnee,der,nature,snow,
Wind,der,nature,wind,
Himmel,der,nature,sky,
Baum,der,nature,tree,
Blume,die,nature,flower,
Wetter,das,nature,weather,
Meer,das,nature,sea,
Berg,der,nature,mountain,
See,der,nature,lake,
Arbeit,die,work,work,
Beruf,der,work,profession,
Büro,das,work,office,
Computer,der,work,computer,
Telefon,das,work,telephone,
Handy,das,work,mobile phone,
Buch,das,work,book,Ich lese ein Buch.
Stift,der,work,pen,
Frage,die,work,question,
Antwort,die,work,answer,
Wort,das,work,word,
Sprache,die,work,language,
Problem,das,work,problem,
Geld,das,work,money,
Kopf,der,body,head,
Hand,die,body,hand,
Fuß,der,body,foot,
Auge,das,body,eye,
Ohr,das,body,ear,
Mund,der,body,mouth,
Nase,die,body,nose,
Arm,der,body,arm,
Bein,das,body,leg,
Karte,die,misc,card / ticket,
Brief,der,misc,letter,
Zeitung,die,misc,newspaper,Die Zeitung liegt auf dem Tisch.
Bild,das,misc,picture,
Musik,die,misc,music,
Film,der,misc,film,
Spiel,das,misc,game,
Farbe,die,misc,colour,
Hund,der,animals,dog,Der Hund schläft.
Katze,die,animals,cat,Die Katze ist klein.
