lemma,article,topic,translation,example
Akribie,die,abstract,meticulousness,
Allegorie,die,academic,allegory,
Ambivalenz,die,abstract,ambivalence,
Anmaßung,die,abstract,presumption,
Antlitz,das,body,countenance,
Beschwichtigung,die,abstract,appeasement,
Beweggrund,der,abstract,motive,
Brisanz,die,abstract,explosiveness,
Bürde,die,abstract,burden,
Disput,der,abstract,dispute,
Eintracht,die,abstract,concord,
Empfänglichkeit,die,abstract,susceptibility,
Entbehrung,die,abstract,deprivation,
Erhabenheit,die,abstract,sublimity,
Frevel,der,abstract,sacrilege,
Gebrechen,das,body,infirmity,
Gehabe,das,abstract,affectation,
Gemüt,das,abstract,disposition,
Geringfügigkeit,die,abstract,triviality,
Geschmeidigkeit,die,abstract,suppleness,
Gleichmut,der,abstract,equanimity,
Hader,der,abstract,quarrel,
Häme,die,abstract,gloating,
Hochmut,der,abstract,arrogance,
Inbrunst,die,abstract,fervour,
Jähzorn,der,abstract,hot temper,
Kargheit,die,abstract,barrenness,
Knechtschaft,die,society,servitude,
Konformität,die,abstract,conformity,
Lauterkeit,die,abstract,integrity,
Lethargie,die,abstract,lethargy,
Makel,der,abstract,blemish,
Missgunst,die,abstract,resentment,
Muße,die,abstract,leisure,
Nachlässigkeit,die,abstract,negligence,
Nichtigkeit,die,abstract,triviality,
Niedertracht,die,abstract,baseness,
Pein,die,abstract,torment,
Pietät,die,abstract,reverence,
Prägnanz,die,abstract,conciseness,
Redseligkeit,die,abstract,talkativeness,
Reue,die,abstract,remorse,
Sanftmut,die,abstract,gentleness,
Schmach,die,abstract,disgrace,
Schwermut,die,abstract,melancholy,
Selbstgefälligkeit,die,abstract,complacency,
Sittlichkeit,die,abstract,morality,
Spitzfindigkeit,die,abstract,hairsplitting,
Standhaftigkeit,die,abstract,steadfastness,
Stringenz,die,abstract,cogency,
Subtilität,die,abstract,subtlety,
Tadel,der,abstract,reproach,
Taktgefühl,das,abstract,tact,
Tristesse,die,abstract,dreariness,
Tücke,die,abstract,treachery,
Überdruss,der,abstract,weariness,
Überheblichkeit,die,abstract,haughtiness,
Unabdingbarkeit,die,abstract,indispensability,
Unbeugsamkeit,die,abstract,inflexibility,
Unduldsamkeit,die,abstract,intolerance,
Unfehlbarkeit,die,abstract,infallibility,
Ungemach,das,abstract,adversity,
Unmittelbarkeit,die,abstract,immediacy,
Unnachgiebigkeit,die,abstract,intransigence,
Unvereinbarkeit,die,abstract,incompatibility,
Unverfrorenheit,die,abstract,audacity,
Verbissenheit,die,abstract,doggedness,
Verdrossenheit,die,abstract,sullenness,
Verklärung,die,abstract,transfiguration,
Vermessenheit,die,abstract,hubris,
Verschlagenheit,die,abstract,cunning,
Versöhnung,die,abstract,reconciliation,
Vertrautheit,die,abstract,familiarity,
Verworfenheit,die,abstract,depravity,
Vorahnung,die,abstract,premonition,
Wankelmut,der,abstract,fickleness,
Wesensart,die,abstract,disposition,
Widerwille,der,abstract,reluctance,
Willfährigkeit,die,abstract,compliance,
Wohlwollen,das,abstract,benevolence,
Zaghaftigkeit,die,abstract,timidity,
Zerrissenheit,die,abstract,inner turmoil,
Zerstreuung,die,abstract,diversion,
Zierde,die,abstract,adornment,
Zwietracht,die,abstract,discord,
Beschaulichkeit,die,abstract,contemplativeness,
Bedächtigkeit,die,abstract,deliberateness,
Befindlichkeit,die,abstract,state of mind,
Gediegenheit,die,abstract,solidity,
Genügsamkeit,die,abstract,frugality,
Anmut,die,abstract,grace,
Wonne,die,abstract,bliss,
Jubel,der,abstract,jubilation,
Schwung,der,abstract,momentum,
Elan,der,abstract,verve,
Tatendrang,der,abstract,drive,
Fügsamkeit,die,abstract,docility,
Gegenwehr,die,abstract,resistance,
Widerstandskraft,die,abstract,resilience,
Eitelkeit,die,abstract,vanity,
Habgier,die,abstract,greed,
Schadenfreude,die,abstract,malicious joy,
Wehklage,die,abstract,lamentation,
Trübsinn,der,abstract,gloom,
Frohsinn,der,abstract,cheerfulness,
Unrast,die,abstract,restlessness,
Beklemmung,die,abstract,oppression,
Verbitterung,die,abstract,bitterness,
Gleichförmigkeit,die,abstract,uniformity,
Beflissenheit,die,abstract,assiduity,
Verschwendung,die,abstract,extravagance,
Erbaulichkeit,die,abstract,edification,
Schwülstigkeit,die,abstract,bombast,
Weitläufigkeit,die,abstract,expansiveness,
Beredsamkeit,die,abstract,eloquence,
Schläue,die,abstract,shrewdness,
Verstocktheit,die,abstract,obduracy,
Unbescholtenheit,die,abstract,integrity,
