lemma,article,topic,translation,example
Bevölkerung,die,society,population,
Bürger,der,society,citizen,
Gesellschaft,die,society,society,
Gemeinschaft,die,society,community,
Flüchtling,der,society,refugee,
Ausländer,der,society,foreigner,
Politiker,der,society,politician,
Mitglied,das,society,member,
Publikum,das,society,audience,
Generation,die,society,generation,
Jugend,die,society,youth,
Unternehmen,das,work,company,
Firma,die,work,firm,
Industrie,die,work,industry,
Wirtschaft,die,work,economy,
Handel,der,work,trade,
Gehalt,das,work,salary,
Lohn,der,work,wage,
Steuer,die,work,tax,
Vertrag,der,work,contract,
Bewerbung,die,work,application,
Stelle,die,work,position,
Karriere,die,work,career,
Erfolg,der,work,success,
Erfahrung,die,work,experience,
Ausbildung,die,work,training,
Abschluss,der,work,degree,
Wissen,das,work,knowledge,
Fähigkeit,die,work,ability,
Verantwortung,die,work,responsibility,
Leistung,die,work,performance,
Sitzung,die,work,session,
Besprechung,die,work,meeting,
Projekt,das,work,project,
Ziel,das,work,goal,
Ergebnis,das,work,result,
Lösung,die,work,solution,
Entscheidung,die,work,decision,
Möglichkeit,die,work,possibility,
Bedingung,die,work,condition,
Recht,das,society,right,
Gesetz,das,society,law,
Regierung,die,society,government,
Staat,der,society,state,
Politik,die,society,politics,
Wahl,die,society,election,
Freiheit,die,abstract,freedom,
Frieden,der,society,peace,
Krieg,der,society,war,
Gewalt,die,society,violence,
Macht,die,society,power,
Meinung,die,abstract,opinion,
Diskussion,die,abstract,discussion,
Streit,der,abstract,argument,
Konflikt,der,abstract,conflict,
Beziehung,die,abstract,relationship,
Gefühl,das,abstract,feeling,
Liebe,die,abstract,love,
Angst,die,abstract,fear,
Hoffnung,die,abstract,hope,
Wunsch,der,abstract,wish,
Traum,der,abstract,dream,
Erinnerung,die,abstract,memory,
Wahrheit,die,abstract,truth,
Lüge,die,abstract,lie,
Geheimnis,das,abstract,secret,
Vertrauen,das,abstract,trust,
Respekt,der,abstract,respect,
Charakter,der,abstract,character,
Eigenschaft,die,abstract,trait,
Verhalten,das,abstract,behaviour,
Gewohnheit,die,abstract,habit,
Unterschied,der,abstract,difference,
Vorteil,der,abstract,advantage,
Nachteil,der,abstract,disadvantage,
Vorschlag,der,abstract,suggestion,
Bedeutung,die,abstract,meaning,
Zusammenhang,der,abstract,connection,
Wirkung,die,abstract,effect,
Folge,die,abstract,consequence,
Ursache,die,abstract,cause,
Zweck,der,abstract,purpose,
Absicht,die,abstract,intention,
Fernsehen,das,media,television,
Sendung,die,media,broadcast,
Werbung,die,media,advertising,
Bericht,der,media,report,
Artikel,der,media,article,
Zeitschrift,die,media,magazine,
Anzeige,die,media,advert,
Internet,das,media,internet,
Bildschirm,der,tech,screen,
Tastatur,die,tech,keyboard,
Datei,die,tech,file,
Programm,das,tech,programme,
Technik,die,tech,technology,
Maschine,die,tech,machine,
Gerät,das,tech,device,
Strom,der,tech,electricity,
Energie,die,tech,energy,
Umwelt,die,nature,environment,
Natur,die,nature,nature,
Klima,das,nature,climate,
Pflanze,die,nature,plant,
Wurzel,die,nature,root,
Müll,der,nature,rubbish,
Abfall,der,nature,waste,
Gefahr,die,nature,danger,
Schutz,der,nature,protection,
Landschaft,die,nature,landscape,
Gegend,die,places,area,
Umgebung,die,places,surroundings,
Richtung,die,places,direction,
Entfernung,die,places,distance,
Aussicht,die,places,view,
Urlaub,der,travel,holiday,
Ausflug,der,travel,excursion,
Unterkunft,die,travel,accommodation,
Grenze,die,places,border,
Gepäck,das,travel,luggage,
Verspätung,die,travel,delay,
Verkehr,der,transport,traffic,
Strecke,die,transport,route,
Veranstaltung,die,leisure,event,
Eintritt,der,leisure,admission,
Konzert,das,leisure,concert,
Ausstellung,die,leisure,exhibition,
Hobby,das,leisure,hobby,
Sport,der,sport,sport,
Verein,der,leisure,club,
Wettbewerb,der,sport,competition,
Mannschaft,die,sport,team,
Behandlung,die,body,treatment,
Verletzung,die,body,injury,
Operation,die,body,operation,
Untersuchung,die,body,examination,
Ernährung,die,body,nutrition,
Bewegung,die,body,movement,
Pause,die,misc,break,
Schlaf,der,body,sleep,
Stress,der,body,stress,
Kraft,die,body,strength,
